group,trait,response_scale,estimate,lower_95,upper_95
Female,Foreleg length,mm,23.67717714263643,23.41514972768549,23.9421367774102
Eighth instar,Foreleg length,mm,25.058688189218028,24.60919843620955,25.51638792267684
Ninth instar,Foreleg length,mm,26.36800454787181,26.111086396545772,26.627450626817488
Tenth instar,Foreleg length,mm,27.689886991749585,27.254147974788452,28.132592599303752
Female,Midleg length,mm,23.407617083414767,23.1494079445119,23.668706294221533
Eighth instar,Midleg length,mm,23.903412281941545,23.475515095286877,24.339108914171906
Ninth instar,Midleg length,mm,25.170138737509458,24.925683249877693,25.416991691434692
Tenth instar,Midleg length,mm,26.251982540413245,25.84019966127296,26.670327487253303
Female,Hindleg length,mm,39.53480471039827,39.06498884829476,40.01027082227253
Eighth instar,Hindleg length,mm,37.03188149164996,36.31659325446635,37.76125797931093
Ninth instar,Hindleg length,mm,39.35481916786619,38.94303637388799,39.770956143880646
Tenth instar,Hindleg length,mm,41.08749175789434,40.39331479938717,41.79359845408498
Female,Tympanal area,mm^2,2.822025387632164,2.757952420249497,2.887586903228745
Eighth instar,Tympanal area,mm^2,2.843613736042059,2.7538875770401132,2.9362633199784005
Ninth instar,Tympanal area,mm^2,3.091621884257396,3.0254979125178534,3.159191032878576
Tenth instar,Tympanal area,mm^2,3.255154605581778,3.157834702961366,3.3554737669782013
Female,Eye length,mm,2.474774390176514,2.4410864618409787,2.508927224828674
Eighth instar,Eye length,mm,2.706502492391689,2.6552078226981495,2.75878809888365
Ninth instar,Eye length,mm,2.877100855921282,2.840217090682681,2.9144636029048483
Tenth instar,Eye length,mm,3.095639320716469,3.0400684311027883,3.1522260176524
